============================================================
TRACKING UPLOAD SUMMARY - 2026-03-30 20:55:30
============================================================
Total FBA shipments: 128
  Successful:   0
  Partial:      0
  Failed:       79
  Skipped:      49

DETAILS:
  [NOTFOUND] FBA1968YG6M9  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA196S4P3NF  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19953X8YM  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA198G7HFTM  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1976WTG48  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994VN2FK  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195KDPZ15  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1974NGD95  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19952VV03  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1976Y23ZS  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1994X2GQQ  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA195W4S5L8  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA1976WX5LB  - 0 added, 0 existed, 0 failed (of 1)
  [NOTFOUND] FBA19951PZX7  - 0 added, 0 existed, 0 failed (of 1)
============================================================
